Distribution per Share,declared date,ex date,record date,payable date
0.5354,6/25/2025,6/26/2025,6/26/2025,6/27/2025
0.7351,5/28/2025,5/29/2025,5/29/2025,5/30/2025
0.651,4/30/2025,5/1/2025,5/1/2025,5/2/2025
0.4381,4/2/2025,4/3/2025,4/3/2025,4/4/2025
0.5989,3/5/2025,3/6/2025,3/6/2025,3/7/2025
1.0468,2/5/2025,2/6/2025,2/6/2025,2/7/2025
0.8339,1/7/2025,1/8/2025,1/8/2025,1/10/2025
1.3391,12/11/2024,12/12/2024,12/12/2024,12/13/2024
2.0231,11/13/2024,11/14/2024,11/14/2024,11/15/2024
1.1098,10/16/2024,10/17/2024,10/17/2024,10/18/2024
1.0432,9/5/2024,9/6/2024,9/6/2024,9/9/2024
1.0061,8/6/2024,8/7/2024,8/7/2024,8/8/2024
1.5732,7/3/2024,7/5/2024,7/5/2024,7/8/2024
1.6982,6/5/2024,6/6/2024,6/6/2024,6/7/2024
2.2807,5/3/2024,5/6/2024,5/7/2024,5/8/2024
2.7944,4/3/2024,4/4/2024,4/5/2024,4/8/2024
1.6619,3/5/2024,3/6/2024,3/7/2024,3/8/2024
1.0751,2/6/2024,2/7/2024,2/8/2024,2/9/2024
2.6932,1/4/2024,1/5/2024,1/8/2024,1/9/2024
