Distribution per Share,declared date,ex date,record date,payable date
0.6721,6/18/2025,6/20/2025,6/20/2025,6/23/2025
1.6276,5/21/2025,5/22/2025,5/22/2025,5/23/2025
0.6734,4/23/2025,4/24/2025,4/24/2025,4/25/2025
0.7874,3/26/2025,3/27/2025,3/27/2025,3/28/2025
1.6118,2/26/2025,2/27/2025,2/27/2025,2/28/2025
0.8294,1/29/2025,1/30/2025,1/30/2025,1/31/2025
0.8983,1/2/2025,1/3/2025,1/3/2025,1/6/2025
1.1851,12/4/2024,12/5/2024,12/5/2024,12/6/2024
1.0228,11/6/2024,11/7/2024,11/7/2024,11/8/2024
1.0999,10/8/2024,10/10/2024,10/10/2024,10/11/2024
1.3548,9/5/2024,9/6/2024,9/6/2024,9/9/2024
1.2512,8/6/2024,8/7/2024,8/7/2024,8/8/2024
2.4707,7/3/2024,7/5/2024,7/5/2024,7/8/2024
2.563,6/5/2024,6/6/2024,6/6/2024,6/7/2024
1.1988,5/3/2024,5/6/2024,5/7/2024,5/8/2024
2.6083,4/3/2024,4/4/2024,4/5/2024,4/8/2024
2.6219,3/5/2024,3/6/2024,3/7/2024,3/8/2024
1.5304,2/6/2024,2/7/2024,2/8/2024,2/9/2024
0.626,1/4/2024,1/5/2024,1/8/2024,1/9/2024
