declared_date,payable_date,after_payable_date,closing_price_declared,closing_price_payable,closing_price_after_payable,percentage_change_payable,percentage_change_after_payable
2025-06-25,2025-06-27,2025-06-30,9.85,9.18,9.13,-6.8020304568527905,-7.30964467005075
2025-05-28,2025-05-30,2025-06-03,8.67,7.74,8.06,-10.726643598615913,-7.035755478662047
2025-04-30,2025-05-02,2025-05-05,8.12,7.58,7.43,-6.65024630541871,-8.497536945812803
2025-04-02,2025-04-04,2025-04-07,8.08,6.76,6.7,-16.33663366336634,-17.07920792079208
2025-03-05,2025-03-07,2025-03-10,10.17,9.5,7.94,-6.588003933136675,-21.927236971484753
2025-02-05,2025-02-07,2025-02-10,13.12,12.05,12.32,-8.155487804878039,-6.097560975609748
2025-01-07,2025-01-10,2025-01-13,13.46,12.42,12.07,-7.726597325408624,-10.32689450222883
2024-12-11,2024-12-13,2024-12-16,17.06,15.68,15.94,-8.089097303634226,-6.565064478311837
2024-11-13,2024-11-15,2024-11-18,17.48,16.26,16.97,-6.979405034324936,-2.9176201372997803
2024-10-16,2024-10-18,2024-10-21,15.01,14.45,14.15,-3.730846102598271,-5.729513657561622
2024-09-05,2024-09-09,2024-09-10,13.36,11.92,12.17,-10.77844311377245,-8.907185628742512
2024-08-06,2024-08-08,2024-08-09,16.3,15.03,15.37,-7.791411042944793,-5.705521472392647
2024-07-03,2024-07-08,2024-07-09,20.82,19.07,19.08,-8.405379442843419,-8.357348703170038
2024-06-05,2024-06-07,2024-06-10,24.16,21.69,22.28,-10.22350993377483,-7.78145695364238
2024-05-03,2024-05-08,2024-05-09,24.91,21.75,21.67,-12.685668406262545,-13.006824568446401
2024-04-03,2024-04-08,2024-04-09,28.79,26.14,25.46,-9.204584925321289,-11.566516151441467
2024-03-05,2024-03-08,2024-03-11,25.9,27.29,27.3,5.366795366795369,5.405405405405414
2024-02-06,2024-02-09,2024-02-12,19.45,20.66,21.25,6.221079691516715,9.25449871465296
2024-01-04,2024-01-09,2024-01-10,26.27,23.19,23.17,-11.724400456794818,-11.800532927293483
