declared_date,payable_date,after_payable_date,closing_price_declared,closing_price_payable,closing_price_after_payable,percentage_change_payable,percentage_change_after_payable
2025-06-18,2025-06-23,2025-06-24,16.62,15.89,16.15,-4.392298435619738,-2.827918170878474
2025-05-21,2025-05-23,2025-05-26,16.52,15.05,14.92,-8.898305084745756,-9.685230024213073
2025-04-23,2025-04-25,2025-04-28,14.39,14.43,14.27,0.2779708130646223,-0.8339124391938915
2025-03-26,2025-03-28,2025-03-31,16.83,15.49,15.38,-7.961972667855011,-8.615567439096838
2025-02-26,2025-02-28,2025-03-03,20.61,18.14,16.67,-11.984473556525952,-19.116933527413867
2025-01-29,2025-01-31,2025-02-03,19.91,18.83,18.32,-5.4244098442993565,-7.985936715218482
2025-01-02,2025-01-06,2025-01-07,23.9,24.13,22.93,0.9623430962343116,-4.058577405857736
2024-12-04,2024-12-06,2024-12-09,26.01,24.48,23.93,-5.882352941176475,-7.996924259900045
2024-11-06,2024-11-08,2024-11-11,26.64,25.87,25.64,-2.890390390390389,-3.7537537537537538
2024-10-08,2024-10-11,2024-10-14,25.63,24.87,25.31,-2.9652750682793525,-1.2485368708544686
2024-09-05,2024-09-09,2024-09-10,23.15,21.67,21.93,-6.393088552915753,-5.269978401727857
2024-08-06,2024-08-08,2024-08-09,24.21,23.09,23.13,-4.626187525815782,-4.460966542750937
2024-07-03,2024-07-08,2024-07-09,30.46,28.1,28.6,-7.7478660538411015,-6.106369008535783
2024-06-05,2024-06-07,2024-06-10,31.24,28.82,29.26,-7.746478873239431,-6.338028169014074
2024-05-03,2024-05-08,2024-05-09,26.4,25.73,25.42,-2.537878787878781,-3.712121212121201
2024-04-03,2024-04-08,2024-04-09,29.2,26.2,25.72,-10.273972602739727,-11.917808219178085
2024-03-05,2024-03-08,2024-03-11,31.17,27.6,27.15,-11.453320500481231,-12.897016361886438
2024-02-06,2024-02-09,2024-02-12,26.37,25.5,25.6,-3.2992036405005725,-2.919984831247628
2024-01-04,2024-01-09,2024-01-10,22.08,22.2,22.61,0.5434782608695699,2.4003623188405854
